2024-02-29T15:34:24.119Z	NEW WS	DEKOSETESTINGSTATION03	127.0.0.1:51152
2024-02-29T15:36:52.994Z	REQ IN	0	127.0.0.1:51189	[2,"820d3e7c-7bab-437a-8300-b9d6c5b43cb5","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":5,"reportData":[{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"LimitChangeSignificance"},"variableAttribute":[{"value":"1.0","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"PeriodsPerSchedule"},"variableAttribute":[{"value":"100","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"RateUnit"},"variableAttribute":[{"value":"A,W","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":true,"valuesList":"W,A"}},{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"Entries","instance":"ChargingProfiles"},"variableAttribute":[{"value":"0","mutability":"ReadOnly","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"maxLimit":100}},{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"ProfileStackLevel"},"variableAttribute":[{"value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:53.005Z	RES OUT	0	127.0.0.1:51189	[3,"820d3e7c-7bab-437a-8300-b9d6c5b43cb5",{}]
2024-02-29T15:36:53.083Z	REQ IN	0	127.0.0.1:51189	[2,"0d80ebf0-44a7-4fcf-aa64-95bad015420e","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":6,"reportData":[{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"value":"true","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"SmartChargingCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"value":"true","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"OfflineQueuingSeverity"},"variableAttribute":[{"value":"7","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"BytesPerMessage","instance":"ClearVariableMonitoring"},"variableAttribute":[{"value":"10000000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Bytes"}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"ClearVariableMonitoring"},"variableAttribute":[{"value":"100000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:53.091Z	RES OUT	0	127.0.0.1:51189	[3,"0d80ebf0-44a7-4fcf-aa64-95bad015420e",{}]
2024-02-29T15:36:54.200Z	REQ IN	0	127.0.0.1:51189	[2,"3494618f-4ab4-40c1-a2d5-dd9162104b44","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":7,"reportData":[{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"BytesPerMessage","instance":"SetVariableMonitoring"},"variableAttribute":[{"value":"10000000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Bytes"}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"SetVariableMonitoring"},"variableAttribute":[{"value":"100000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"6"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"9"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"8"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:54.210Z	RES OUT	0	127.0.0.1:51189	[3,"3494618f-4ab4-40c1-a2d5-dd9162104b44",{}]
2024-02-29T15:36:54.310Z	REQ IN	0	127.0.0.1:51189	[2,"72b976bc-bf5f-4c7f-b287-1b7f974cffc9","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":8,"reportData":[{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"4"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"7"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"TimeSource"},"variableAttribute":[{"value":"RealTimeClock","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"SequenceList","supportsMonitoring":true,"valuesList":"RealTimeClock"}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"1"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"2"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:54.320Z	RES OUT	0	127.0.0.1:51189	[3,"72b976bc-bf5f-4c7f-b287-1b7f974cffc9",{}]
2024-02-29T15:36:54.342Z	REQ IN	0	127.0.0.1:51152	[2,"60c945c3-510b-4f41-8e41-17fd78a482a7","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-29T15:36:54.351Z	RES OUT	0	127.0.0.1:51152	[3,"60c945c3-510b-4f41-8e41-17fd78a482a7",{"status":"Pending","currentTime":"2024-02-29T15:36:54.351Z","interval":30}]
2024-02-29T15:36:54.450Z	REQ IN	0	127.0.0.1:51189	[2,"241ed87a-ad05-4259-88e6-c6cfce99d86d","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":9,"reportData":[{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"5"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpServerUri","instance":"3"},"variableAttribute":[{"value":"","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"DateTime"},"variableAttribute":[{"value":"2024-02-29T15:36:51Z","mutability":"ReadOnly","constant":false}],"variableCharacteristics":{"dataType":"dateTime","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"ItemsPerMessage"},"variableAttribute":[{"value":"500","mutability":"ReadOnly","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"Entries"},"variableAttribute":[{"value":"500","mutability":"ReadOnly","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:54.466Z	RES OUT	0	127.0.0.1:51189	[3,"241ed87a-ad05-4259-88e6-c6cfce99d86d",{}]
2024-02-29T15:36:54.606Z	REQ IN	0	127.0.0.1:51189	[2,"96d15684-25c1-4349-8d53-a8bafb481918","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":10,"reportData":[{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"value":"true","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"BytesPerMessage"},"variableAttribute":[{"value":"500000","mutability":"ReadOnly","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Bytes"}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"value":"true","mutability":"ReadOnly","constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"SampledDataCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"value":"true","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"SampledDataCtrlr"},"variable":{"name":"TxUpdatedMeasurands"},"variableAttribute":[{"value":"Energy.Active.Import.Register","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":true,"valuesList":"Current.Export,Current.Import,Current.Offered,Energy.Active.Export.Register,Energy.Active.Import.Register,Energy.Reactive.Export.Register,Energy.Reactive.Import.Register,Energy.Active.Export.Interval,Energy.Active.Import.Interval,Energy.Active.Net,Energy.Reactive.Export.Interval,Energy.Reactive.Import.Interval,Energy.Reactive.Net,Energy.Apparent.Net,Energy.Apparent.Import,Energy.Apparent.Export,Frequency,Power.Active.Export,Power.Active.Import,Power.Factor,Power.Offered,Power.Reactive.Export,Power.Reactive.Import,SoC,Voltage"}}],"tbc":true}]
2024-02-29T15:36:54.616Z	RES OUT	0	127.0.0.1:51189	[3,"96d15684-25c1-4349-8d53-a8bafb481918",{}]
