2023-03-30T12:55:58.654Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900007","ChangeAvailability",{"connectorId":0,"type":"Inoperative"}]
2023-03-30T12:55:58.845Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900007",{"status":"Accepted"}]
2023-03-30T12:55:58.893Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"JP3VzbK6HKVRDgDc6nfgOZ7ChN3gDyfNEci3","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:55:59.477Z"}]
2023-03-30T12:55:59.006Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"JP3VzbK6HKVRDgDc6nfgOZ7ChN3gDyfNEci3",{}]
2023-03-30T12:56:09.549Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:09.643Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:12.797Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900008","ChangeAvailability",{"connectorId":1,"type":"Inoperative"}]
2023-03-30T12:56:12.971Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900008",{"status":"Accepted"}]
2023-03-30T12:56:22.550Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900009","ChangeAvailability",{"connectorId":0,"type":"Inoperative"}]
2023-03-30T12:56:22.748Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900009",{"status":"Accepted"}]
2023-03-30T12:56:22.752Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"3s3D3PU8xXbuE8TSbRX8eRhhGEuKgWHaFBdB","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:56:23.382Z"}]
2023-03-30T12:56:22.877Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"3s3D3PU8xXbuE8TSbRX8eRhhGEuKgWHaFBdB",{}]
2023-03-30T12:56:29.588Z	PING IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:35.004Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900010","ChangeAvailability",{"connectorId":0,"type":"Operative"}]
2023-03-30T12:56:35.156Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900010",{"status":"Accepted"}]
2023-03-30T12:56:35.203Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"SzDGNg2RiMmAdABARihZoVjLrsnytJ2E85KN","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T12:56:35.808Z"}]
2023-03-30T12:56:35.317Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"SzDGNg2RiMmAdABARihZoVjLrsnytJ2E85KN",{}]
2023-03-30T12:56:35.488Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"eFgDRLFwLGwepV3WsgiaPORAYKEZIRmnWMso","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T12:56:36.089Z"}]
2023-03-30T12:56:35.600Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"eFgDRLFwLGwepV3WsgiaPORAYKEZIRmnWMso",{}]
2023-03-30T12:56:35.724Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[2,"Zydl4RImoDAXjkzyyH0PU7pcPUIli1S8symn","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T12:56:36.090Z"}]
2023-03-30T12:56:35.836Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[3,"Zydl4RImoDAXjkzyyH0PU7pcPUIli1S8symn",{}]
2023-03-30T12:56:39.540Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900011","ChangeAvailability",{"connectorId":1,"type":"Operative"}]
2023-03-30T12:56:39.556Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:56:39.698Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[3,"900011",{"status":"Accepted"}]
2023-03-30T12:56:39.730Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:57:09.567Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:57:10.367Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57723
2023-03-30T12:57:11.228Z	OUT	NLHLXELAAD0002	127.0.0.1:57723	[2,"900012","DataTransfer",{"vendorId":"GraphDefined"}]
2023-03-30T12:57:11.392Z	IN	NLHLXELAAD0002	127.0.0.1:57723	[4,"900012","NotSupported","DataTransfer is not supported yet",{}]
2023-03-30T12:57:45.943Z	NEW	NLHLXELAAD0002	127.0.0.1:57744
2023-03-30T12:57:48.602Z	OUT	NLHLXELAAD0002	127.0.0.1:57744	[2,"900001","DataTransfer",{"vendorId":"GraphDefined","messageId":"message1"}]
2023-03-30T12:57:48.735Z	IN	NLHLXELAAD0002	127.0.0.1:57744	[4,"900001","NotSupported","DataTransfer is not supported yet",{}]
2023-03-30T12:58:15.912Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57744
2023-03-30T12:58:16.285Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57744
2023-03-30T12:58:28.104Z	OUT	NLHLXELAAD0002	127.0.0.1:57744	[2,"900002","Reset",{"type":"Hard"}]
2023-03-30T12:58:28.526Z	IN	NLHLXELAAD0002	127.0.0.1:57744	[3,"900002",{"status":"Accepted"}]
2023-03-30T12:58:34.576Z	CLOSE	NLHLXELAAD0002	127.0.0.1:57744
2023-03-30T12:58:34.583Z	QUIT	NLHLXELAAD0002	127.0.0.1:57744
2023-03-30T13:00:17.371Z	NEW	NLHLXELAAD0002	127.0.0.1:57759
2023-03-30T13:00:19.733Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900004","TriggerMessage",{"requestedMessage":"BootNotification"}]
2023-03-30T13:00:19.902Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900004",{"status":"Accepted"}]
2023-03-30T13:00:20.000Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"vr1G21JWAWXcRxqynxfnLXy42lqMqxCeh3ma","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"NotAvailable","imsi":"NotAvailable"}]
2023-03-30T13:00:20.125Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"vr1G21JWAWXcRxqynxfnLXy42lqMqxCeh3ma",{"status":"Accepted","currentTime":"2023-03-30T13:00:20.120Z","interval":300}]
2023-03-30T13:00:20.432Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"vwzyJNRcBASq0zWCQNAJyqYigaDFVqfJfX7q","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T13:00:20.997Z"}]
2023-03-30T13:00:20.554Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"vwzyJNRcBASq0zWCQNAJyqYigaDFVqfJfX7q",{}]
2023-03-30T13:00:20.817Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"kSJnSdXLWtOmAQx08OZgpflDOJOthPaKhly1","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Unavailable","timestamp":"2023-03-30T13:00:20.997Z"}]
2023-03-30T13:00:20.929Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"kSJnSdXLWtOmAQx08OZgpflDOJOthPaKhly1",{}]
2023-03-30T13:00:47.347Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57759
2023-03-30T13:00:47.477Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57759
2023-03-30T13:00:56.044Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"IMEe7UJAk81lOTI5yvBF5PyfeRpC5g6EuBkv","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:00:56.622Z"}]
2023-03-30T13:00:56.168Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"IMEe7UJAk81lOTI5yvBF5PyfeRpC5g6EuBkv",{}]
2023-03-30T13:00:56.337Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"XvvAuplBCu60g78eQxCuIuzETwIFzu2PgoPT","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:00:56.622Z"}]
2023-03-30T13:00:56.448Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"XvvAuplBCu60g78eQxCuIuzETwIFzu2PgoPT",{}]
2023-03-30T13:01:00.085Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900005","TriggerMessage",{"requestedMessage":"BootNotification"}]
2023-03-30T13:01:00.465Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900005",{"status":"Accepted"}]
2023-03-30T13:01:00.468Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"X2XZpUSPVRtnIyaQjSU2HeA6R2OzkfJ7ZgXF","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"8931081221054066560","imsi":"204080805317875"}]
2023-03-30T13:01:00.593Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"X2XZpUSPVRtnIyaQjSU2HeA6R2OzkfJ7ZgXF",{"status":"Accepted","currentTime":"2023-03-30T13:01:00.591Z","interval":300}]
2023-03-30T13:01:01.082Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"3pURAH4I7XYhqucxPdxgWCY6ih6AHUFDDcUF","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:01.562Z"}]
2023-03-30T13:01:01.195Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"3pURAH4I7XYhqucxPdxgWCY6ih6AHUFDDcUF",{}]
2023-03-30T13:01:01.700Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"lRNjonJXYlMpFAOeEmdoMboVxwY2Ru74CLet","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:01.562Z"}]
